Drug	Chemblid	max_phase	formula	synonyms	canonical
ANX-005	CHEMBL4650442	2.0	-	Anx005;;;ANX005;;;Anx-005;;;ANX-005	-
BNC-210	CHEMBL4650452	2.0	-	Bnc210;;;BNC210;;;Bnc-210;;;BNC-210	-
ABDAVOMERAN	CHEMBL4650454	2.0	-	Abdavomeran;;;Abdavomeran;;;Bnt162b1;;;BNT-162B1	-
STI-2020	CHEMBL4650460	2.0	-	Covi-amg;;;STI2020;;;Sti-2020;;;STI-2020;;;STI2099;;;STI-2099	-
CSL-324	CHEMBL4650461	2.0	-	Csl324;;;CSL324;;;Csl-324;;;CSL-324	-
DEUTARSERINE	CHEMBL4650463	2.0	C3H7NO3	C-21692;;;Ctp-692;;;CTP-692;;;Deutarserine;;;Deutarserine;;;Deutarserine	[2H][C@@](N)(CO)C(=O)O
DARIGABAT	CHEMBL4650464	2.0	-	Cvl-865;;;CVL-865;;;Darigabat;;;Darigabat;;;PF-06372865	-
BEPIROVIRSEN	CHEMBL4650468	2.0	-	Bepirovirsen;;;Bepirovirsen;;;Gsk3228836;;;GSK3228836;;;GSK-3228836;;;IONIS HBVRX;;;ISIS-505358;;;ISIS-GSK3RX	-
EFPEGLENATIDE	CHEMBL4650470	2.0	-	Efpeglenatide;;;Efpeglenatide;;;Efpeglenatide;;;Hm11260c;;;HM11260C;;;HM-11260C;;;Langlenatide;;;SAR439977;;;SAR-439977	-
COFIRASERSEN	CHEMBL4650476	2.0	-	Cofirasersen;;;Cofirasersen;;;Cofirasersen;;;Ion-827359;;;ION-827359;;;Ionis-enacrx;;;IONIS-ENACRX	-
SAPABLURSEN	CHEMBL4650478	2.0	-	Ionis tmprss6-lrx;;;ISIS 702843;;;ISIS-702843;;;Sapablursen;;;Sapablursen	-
IPL-344	CHEMBL4650479	2.0	-	Ipl344;;;IPL344;;;Ipl-344	-
PIMIVALIMAB	CHEMBL4650482	2.0	-	Jtx 4014;;;Jtx-4014;;;JTX-4014;;;Pimivalimab;;;Pimivalimab	-
ZANSECIMAB	CHEMBL4650486	2.0	-	Ly3127804;;;LY3127804;;;LY-3127804;;;Zansecimab;;;Zansecimab;;;Zansecimab	-
TORUDOKIMAB	CHEMBL4650487	2.0	-	Ly3375880;;;LY3375880;;;LY-3375880;;;Torudokimab;;;Torudokimab	-
TOZORAKIMAB	CHEMBL4650490	2.0	-	Medi3506;;;MEDI3506;;;MEDI-3506;;;Tozorakimab;;;Tozorakimab	-
UNASNEMAB	CHEMBL4650492	2.0	-	MT3921;;;Mt-3921;;;MT-3921;;;Unasnemab;;;Unasnemab	-
ZEDENOLEUCEL	CHEMBL4650493	2.0	-	Mt-401;;;MT-401;;;Zedenoleucel;;;Zelenoleucel	-
NLY-01	CHEMBL4650495	2.0	-	Nly01;;;NLY01;;;Nly-01;;;NLY-01	-
PEGSITACIANINE	CHEMBL4650497	2.0	-	Onm-100;;;ONM-100;;;ONM-100 DS;;;Pegsitacianine;;;Pegsitacianine	-
PF-4136309	CHEMBL4650501	2.0	-	INCB8761;;;INCB-8761;;;Pf-04136309;;;PF-04136309;;;Pf-4136309;;;PF-4136309	-
PEGYLATED CARBOXYHEMOGLOBIN (BOVINE)	CHEMBL4650504	2.0	-	Pegylated carboxyhemoglobin (bovine);;;Pp-007;;;PP-007;;;Sanguinate	-
ORDESEKIMAB	CHEMBL4650505	2.0	-	AMG714;;;Amg 714;;;Ordesekimab;;;Ordesekimab;;;Prv-015;;;PRV-015	-
RUSFERTIDE	CHEMBL4650507	2.0	-	Ptg-300;;;PTG-300;;;PTG-300FB;;;Rusfertide;;;Rusfertide	-
NADECNEMAB	CHEMBL4650510	2.0	-	Nadecnemab;;;Nadecnemab;;;Regn5069;;;REGN5069;;;REGN-5069	-
GOFLIKICEPT	CHEMBL4650513	2.0	-	Goflikicept;;;Goflikicept;;;RPH 104;;;Rph-104;;;RPH-104	-
BATOCLIMAB	CHEMBL4650514	2.0	-	Batoclimab;;;Batoclimab;;;Batoclimab;;;HBM9161;;;HBM-9161;;;HL161BKN;;;RVT1401;;;Rvt-1401;;;RVT-1401	-
FINOTONLIMAB	CHEMBL4650516	2.0	-	Finotonlimab;;;Finotonlimab;;;Sct-i10a;;;SCT-I10A	-
MESMULOGENE ANCOVACIVEC	CHEMBL4650517	2.0	-	Mesmulogene ancovacivec;;;Mesmulogene ancovacivec;;;Tg4010;;;TG4010;;;TG-4010	-
PLONMARLIMAB	CHEMBL4650518	2.0	-	Plonmarlimab;;;Plonmarlimab;;;Tj003234;;;TJ003234;;;TJ-003234;;;TJM-2	-
ORN-0829 HYDRATE	CHEMBL4650522	2.0	-	Orn-0829 hydrate;;;ORN-0829 HYDRATE;;;ORN0829 HYDRATE;;;Ts-142	-
VRC-01	CHEMBL4650525	2.0	-	Vrc01;;;VRC01;;;Vrc-01;;;VRC-01	-
.ALPHA.-R-LIPOIC ACID CHOLINE ESTER	CHEMBL4650743	2.0	C13H26NO2S2+		C[N+](C)(C)CCOC(=O)CCCC[C@@H]1CCSS1
ISUZINAXIB	CHEMBL4650894	2.0	C17H17N3O		CCCc1c(-c2ccccc2)nn(-c2ccccn2)c1O
MIRAMISTIN	CHEMBL4650936	2.0	C26H47N2O+		CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccccc1
DS-1001B	CHEMBL4651002	2.0	C25H18Cl3FN2O4		Cc1cn(C(=O)c2c(-c3c(Cl)cc(Cl)cc3Cl)noc2C(C)(C)F)c2cccc(/C=C/C(=O)O)c12
PULRODEMSTAT	CHEMBL4651180	2.0	C24H23F2N5O2		COc1ccc(-c2c(-c3ccc(C#N)c(F)c3)nc(N3CCC(N)CC3)n(C)c2=O)cc1F
BETULINIC ACID	CHEMBL269277	1.0	C30H48O3	ALS-357;;;Betulinic acid;;;Betulinic acid;;;NSC-113090;;;NSC-677578	C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
PROPYL GALLATE	CHEMBL7983	1.0	C10H12O5	E310;;;E-310;;;FEMA NO. 2947;;;INS-310;;;INS NO.310;;;NSC-2626;;;Propyl gallate;;;Propyl gallate;;;Propyl gallate;;;Propyl gallate	CCCOC(=O)c1cc(O)c(O)c(O)c1
RACLOPRIDE	CHEMBL8809	1.0	C15H20Cl2N2O3	Raclopride;;;Raclopride;;;Raclopride	CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
PENCLOMEDINE	CHEMBL273124	1.0	C8H6Cl5NO2	NSC-338720;;;Penclomedine	COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl
BERBERINE CHLORIDE	CHEMBL12089	1.0	C20H18ClNO4	Berberine chloride;;;Berberine chloride;;;Berberine chloride;;;Berberine hydrochloride;;;GNF-Pf-4545;;;NSC-163088;;;NSC-646666	COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]
METHYLPYRROLIDONE	CHEMBL12543	1.0	C5H9NO	1-methylpyrrolidone;;;Methylpyrrolidone;;;Methylpyrrolidone;;;Methylpyrrolidone;;;N-Methyl Pyrrolidinone;;;N-methylpyrrolidone;;;N-methyl-pyrrolidone;;;NSC-4594	CN1CCCC1=O
HYMECROMONE	CHEMBL12208	1.0	C10H8O3	Cantabiline;;;Hymecromone;;;Hymecromone;;;Hymecromone;;;Hymecromone;;;Hymecromone;;;Hymecromone;;;Hymecromone;;;LM-94;;;NSC-19026;;;NSC-9408	Cc1cc(=O)oc2cc(O)ccc12
GAMMA-AMINOBUTYRIC ACID	CHEMBL96	1.0	C4H9NO2	Aminobutyric acid;;;.gamma.-aminobutyric acid;;;Gamma-aminobutyric acid;;;Gamma-aminobutyric acid;;;Gamma-aminobutyric acid;;;NSC-27418;;;Vigabatrin impurity, .gamma.-aminobutyric acid-	NCCCC(=O)O
ALDOSTERONE	CHEMBL273453	1.0	C21H28O5	Aldosterone;;;Aldosterone;;;Aldosterone;;;Aldosterone;;;Aldosterone;;;Aldosterone;;;NSC-73856	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12
TRICHOSTATIN	CHEMBL99	1.0	C17H22N2O3	A-300-I;;;ANTIBIOTIC A-300;;;GNF-Pf-1011;;;Trichostatin;;;Trichostatin(s)	CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1
MUSCIMOL	CHEMBL273481	1.0	C4H6N2O2	Muscimol;;;Muscimol;;;NSC-333569	NCc1cc(O)no1
U-50488 METHANE SULFONATE	CHEMBL441765	1.0	C19H26Cl2N2O	U-50488	CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1
CYCLOHEXANE	CHEMBL15980	1.0	C6H12	Cyclohexane;;;Cyclohexane;;;Cyclohexane;;;NSC-406835	C1CCCCC1
NAPHTHALENE	CHEMBL16293	1.0	C10H8	Naphthalene;;;Naphthalene;;;Naphthalene;;;NSC-37565	c1ccc2ccccc2c1
SALCAPROZIC ACID	CHEMBL16503	1.0	C15H21NO4	Salcaprozic acid	O=C(O)CCCCCCCNC(=O)c1ccccc1O
CHS-828	CHEMBL17289	1.0	C19H22ClN5O	Chs 828;;;CHS 828;;;Chs-828;;;GMX 1778;;;GMX-1778	N#CN/C(=N\CCCCCCOc1ccc(Cl)cc1)Nc1ccncc1
CIPRALISANT	CHEMBL278462	1.0	C14H20N2	Cipralisant;;;Cipralisant;;;GT-2331	CC(C)(C)CCC#C[C@@H]1C[C@H]1c1c[nH]cn1
HIGENAMINE	CHEMBL19344	1.0	C16H17NO3	Higenamine	Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1
FANAPANEL	CHEMBL19892	1.0	C14H15F3N3O6P	Fanapanel;;;Fanapanel;;;Zk200775;;;ZK200775;;;ZK-200775	O=c1[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2n(CP(=O)(O)O)c1=O
INTERMEDINE	CHEMBL214332	1.0	C77H109N21O19S	Alpha-melanocyte stimulating hormone;;;.alpha.-melanotropin;;;Intermedine;;;Intermedine	CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C
CHLORCYCLIZINE	CHEMBL22150	1.0	C18H21ClN2	Chlorcyclizine;;;Chlorcyclizine;;;Chlorcyclizine	CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
L-778123	CHEMBL279433	1.0	C22H20ClN5O	L-778123	N#Cc1ccc(Cn2cncc2CN2CCN(c3cccc(Cl)c3)C(=O)C2)cc1
FENAMIC ACID 	CHEMBL23832	1.0	C13H11NO2	2-(Phenylamino)Benzoic Acid;;;2-Phenylamino-Benzoic Acid;;;Fenamic acid ;;;N-Phenylanthranilic Acid	O=C(O)c1ccccc1Nc1ccccc1
ZD-4190	CHEMBL281872	1.0	C19H16BrFN6O2	ZD-4190	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1
METHYLDOPA (RACEMIC)	CHEMBL718	1.0	C10H13NO4	2-Amino-3-(3,4-Dihydroxy-Phenyl)-2- Methyl-Propionic Acid(Catechol Metabolite);;;Methyldopa dl-form;;;Methyldopa;;;Methyldopa (racemic);;;Methyldopa (racemic)	CC(N)(Cc1ccc(O)c(O)c1)C(=O)O
MESCALINE	CHEMBL26687	1.0	C11H17NO3	2-(3,4,5-Trimethoxyphenyl)Ethanamine;;;Mescaline;;;Mescaline;;;NSC-30419	COc1cc(CCN)cc(OC)c1OC
DPOC-4088	CHEMBL30054	1.0	C19H16ClF3N6O2	DP-4088;;;DPOC 4088;;;Dpoc-4088	O=C(Cn1c(Cl)cnc(NCC(F)(F)c2ccccn2)c1=O)NCc1ncccc1F
IRAMPANEL	CHEMBL29741	1.0	C18H19N3O2	BIIR 561;;;BIIR-561;;;BIIR-561 CL;;;Irampanel;;;Irampanel	CN(C)CCOc1ccccc1-c1nc(-c2ccccc2)no1
BIZELESIN	CHEMBL284642	1.0	C43H36Cl2N8O5	Bizelesin;;;Bizelesin;;;Bizelesin;;;U 77779;;;U-77779	Cc1c[nH]c2c(O)cc3c(c12)[C@H](CCl)CN3C(=O)c1cc2cc(NC(=O)Nc3ccc4[nH]c(C(=O)N5C[C@@H](CCl)c6c5cc(O)c5[nH]cc(C)c65)cc4c3)ccc2[nH]1
BIAPENEM	CHEMBL285347	1.0	C15H18N4O4S	Biapenem;;;Biapenem;;;Biapenem;;;Biapenem;;;Biapenem;;;Biapenem;;;CL 186,815;;;CL-186815;;;L-627;;;LJ C10,627;;;LJ-C10627;;;LJC-10627	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12
5-AMINOVALERIC ACID	CHEMBL284116	1.0	C5H11NO2	5-Aminopentanoic Acid;;;5-Amino-Pentanoic Acid;;;5-aminovaleric acid;;;5-Ammoniopentanoate;;;DAVA;;;Delta-Aminovalerianic Acid	NCCCCC(=O)O
COMBRETASTATIN A-1	CHEMBL36255	1.0	C18H20O6	Combretastatin a1;;;Combretastatin a-1;;;Combretastatin a-1;;;NSC-600032;;;OXI4500	COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)c(O)c1O
NIKKOMYCIN	CHEMBL35306	1.0	C20H25N5O10	Nikkomycin;;;Nikkomycin Z	C[C@@H]([C@H](N)C(=O)N[C@H](C(=O)O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)[C@H](O)c1ccc(O)cn1
ILX23-7553	CHEMBL284121	1.0	C27H38O3	BXL 353;;;Ilx23-7553;;;ILX7553;;;Ro-23-7553	C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)CC#CC(C)(C)O)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O
DEFERITRIN	CHEMBL432481	1.0	C11H11NO4S	Deferitrin;;;Deferitrin;;;Deferitrin;;;GT-56-252;;;GT56-252	C[C@]1(C(=O)O)CSC(c2ccc(O)cc2O)=N1
APC-100	CHEMBL37676	1.0	C14H20O2	Apc-100;;;APC-100;;;NSC-226236	Cc1c(C)c2c(c(C)c1O)CCC(C)(C)O2
HUMAN NEUROPEPTIDE Y	CHEMBL438945	1.0	C189H285N55O57S	Human neuropeptide y	CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O)[C@@H](C)CC
PLUMBAGIN	CHEMBL295316	1.0	C11H8O3	NSC-236613;;;NSC-688284;;;Pcur-101;;;PCUR-101;;;Plumbagin;;;Plumbagin	CC1=CC(=O)c2c(O)cccc2C1=O
VALINE	CHEMBL43068	1.0	C5H11NO2	L-valine;;;L-valine;;;NSC-76038;;;Valine;;;Valine;;;Valine;;;Valine;;;Valine	CC(C)[C@H](N)C(=O)O
PHENANTHRENE	CHEMBL46730	1.0	C14H10	NSC-26256;;;Phenanthrene;;;Phenanthrene	c1ccc2c(c1)ccc1ccccc12
METHYL P-TOLUENESULFONYL-L-ARGININATE	CHEMBL44752	1.0	C14H22N4O4S	L-arginine, n2-((4-methylphenyl)sulfonyl)-, methyl ester;;;Methyl p-toluenesulfonyl-l-argininate	COC(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)c1ccc(C)cc1
INDIBULIN	CHEMBL49642	1.0	C22H16ClN3O2	D-24851;;;Indibulin;;;Indibulin;;;Indibulin;;;ZIO-301	O=C(Nc1ccncc1)C(=O)c1cn(Cc2ccc(Cl)cc2)c2ccccc12
BMS-387032	CHEMBL296468	1.0	C17H24N4O2S2	Bms-387032;;;BMS-387032;;;Sns 032;;;SNS-032	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
S-3304	CHEMBL297792	1.0	C24H20N2O4S2	S 3304;;;S-3304	Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1
PD-0166285	CHEMBL49120	1.0	C26H27Cl2N5O2	PD-0166285;;;TCMDC-140940;;;TCMDC-140940	CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
FK453	CHEMBL440115	1.0	C23H25N3O2	Fk453;;;FK-453	O=C(/C=C/c1c(-c2ccccc2)nn2ccccc12)N1CCCC[C@@H]1CCO
TRANSTORINE	CHEMBL299155	1.0	C10H7NO3	Kynurenic Acid;;;Transtorine	O=C(O)c1cc(=O)c2ccccc2[nH]1
RAVUCONAZOLE	CHEMBL294029	1.0	C22H17F2N5OS	BMS-207147;;;ER-30346;;;Ravuconazole;;;Ravuconazole;;;Ravuconazole	C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
NORLEUCINE	CHEMBL292439	1.0	C6H13NO2	2-Amino-Hexanoic Acid;;;Norleucine;;;Norleucine;;;NSC-10378	CCCC[C@H](N)C(=O)O
UC 781	CHEMBL54893	1.0	C17H18ClNO2S	Uc 781;;;UC-781	CC(C)=CCOc1cc(NC(=S)c2ccoc2C)ccc1Cl
THREONINE	CHEMBL291747	1.0	C4H9NO3	L-threonine;;;Threonine;;;Threonine;;;Threonine;;;Threonine	C[C@@H](O)[C@H](N)C(=O)O
DINITROCHLOROBENZENE	CHEMBL292687	1.0	C6H3ClN2O4	1-chloro-2,4-dinitrobenzene;;;1-chloro-2,4-dinitrobenzene;;;Dinitrochlorobenzene;;;NSC-6292	O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
MAFOSFAMIDE	CHEMBL59990	1.0	C9H19Cl2N2O5PS2	Mafosfamide;;;Mafosfamide	O=P1(N(CCCl)CCCl)NC(SCCS(=O)(=O)O)CCO1
METHYLSELENOCYSTEINE	CHEMBL62382	1.0	C4H9NO2Se	Methylselenocysteine;;;Se-Methylselenocysteine	C[Se]C[C@H](N)C(=O)O
DOFEQUIDAR	CHEMBL65067	1.0	C30H31N3O3	Dofequidar;;;Dofequidar	O=C(C(c1ccccc1)c1ccccc1)N1CCN(CC(O)COc2cccc3ncccc23)CC1
GANTACURIUM CHLORIDE	CHEMBL275321	1.0	C53H69Cl3N2O14	AV-4430A;;;Gantacurium chloride;;;Gantacurium chloride;;;Gantacurium chloride;;;Gantacurium chloride;;;GW-280430;;;GW280430A;;;GW-280430A	COc1cc2c(cc1OC)[C@H](c1cc(OC)c(OC)c(OC)c1)[N@@+](C)(CCCOC(=O)/C=C(\Cl)C(=O)OCCC[N@+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2.[Cl-].[Cl-]
GORALATIDE	CHEMBL420741	1.0	C20H33N5O9	Goralatide;;;Goralatide	CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)O
CARBENDAZIM	CHEMBL70971	1.0	C9H9N3O2	A 118;;;BAS-67054F;;;Bavistin;;;Carbendazim;;;Carbendazim;;;EK-578;;;FB-642;;;Fenbendazole related compound a;;;NSC-109874	COC(=O)Nc1nc2ccccc2[nH]1
CORDYCEPIN	CHEMBL305686	1.0	C10H13N5O3	3'-Deoxyadenosine;;;Cordycepin;;;Cordycepin;;;NSC-401022;;;NSC-63984	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O
DIETHYLHOMOSPERMINE	CHEMBL77101	1.0	C16H38N4	Diethylhomospermine	CCNCCCCNCCCCNCCCCNCC
PELDESINE	CHEMBL311300	1.0	C12H11N5O	BCX-34;;;Peldesine;;;Peldesine;;;Peldesine	Nc1nc2c(Cc3cccnc3)c[nH]c2c(=O)[nH]1
TERAMEPROCOL	CHEMBL90983	1.0	C22H30O4	EM 1421;;;EM-1421;;;Terameprocol;;;Terameprocol;;;Terameprocol	COc1ccc(C[C@H](C)[C@H](C)Cc2ccc(OC)c(OC)c2)cc1OC
TELINAVIR	CHEMBL322241	1.0	C33H44N6O5	NSC-670881;;;SC-52151;;;Telinavir;;;Telinavir;;;Telinavir	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(=O)NC(C)(C)C
BIFENDATE	CHEMBL105184	1.0	C20H18O10	Bifendate	COC(=O)c1cc(OC)c2c(c1-c1c(C(=O)OC)cc(OC)c3c1OCO3)OCO2
NORNICOTINE	CHEMBL1132	1.0	C9H12N2	Nornicotine;;;Nornicotine	c1cncc(C2CCCN2)c1
SOBETIROME	CHEMBL107400	1.0	C20H24O4	GC-1;;;QRX-431;;;Sobetirome;;;Sobetirome;;;Sobetirome	Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1
DANIQUIDONE	CHEMBL114283	1.0	C15H11N3O	Batracylin;;;BAY H 2049;;;BAY-H-2049;;;Daniquidone;;;Daniquidone;;;Daniquidone;;;NSC-320846	Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2
ALEPLASININ	CHEMBL325424	1.0	C28H27NO3	Aleplasinin;;;Aleplasinin;;;Aleplasinin;;;PAZ-417	Cc1cccc(-c2ccc3c(c2)c(C(=O)C(=O)O)cn3Cc2ccc(C(C)(C)C)cc2)c1
SPIRADOLINE	CHEMBL118865	1.0	C22H30Cl2N2O2	Spiradoline;;;Spiradoline	CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCC2(CCCO2)CC1N1CCCC1
TRIBUTYRIN	CHEMBL118722	1.0	C15H26O6	FEMA NO. 2223;;;NSC-661583;;;Tributyrin;;;Tributyrin	CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
LMP-744	CHEMBL126159	1.0	C24H24N2O7	Lmp744;;;Lmp-744;;;MJ-III-65;;;NSC-706744	COc1cc2c3c(n(CCCNCCO)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2
AS-602868	CHEMBL129857	1.0	C18H14N4O3S	As-602868;;;SPC-839	COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12
BUTANE	CHEMBL134702	1.0	C4H10	Butane;;;Butane;;;Butane;;;E-943;;;E943a;;;HC 600;;;INS-943;;;INS NO.943;;;R 600	CCCC
IRSOGLADINE	CHEMBL136497	1.0	C9H7Cl2N5	Irsogladine;;;Irsogladine;;;Irsogladine;;;Irsogladine maleate	Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1
INULINE	CHEMBL359227	1.0	C32H46N2O8	Inuline	CCN1C[C@]2(COC(=O)c3ccccc3N)CC[C@H](OC)[C@]34C5C[C@@H]6[C@@H](OC)C[C@@](O)(C5[C@H]6OC)[C@@](O)(C13)[C@@H](OC)C24
GSK-369796	CHEMBL147806	1.0	C20H22ClN3O	Gsk-369796;;;GSK369796	CC(C)(C)NCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O
MOFAROTENE	CHEMBL146506	1.0	C29H39NO2	Mofarotene;;;Mofarotene;;;Ro-408757	C/C(=C\c1ccc(OCCN2CCOCC2)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
(NORTH)-METHANOCARBATHYMIDINE	CHEMBL146673	1.0	C12H16N2O4	N-methanocarbathymidine;;;(north)-methanocarbathymidine	Cc1cn([C@H]2C[C@H](O)[C@]3(CO)C[C@H]23)c(=O)[nH]c1=O
CPP-115	CHEMBL146927	1.0	C7H9F2NO2		N[C@H]1C[C@@H](C(=O)O)CC1=C(F)F
CEP-7055	CHEMBL346631	1.0	C32H35N3O4	Cep-7055;;;CEP-7055	CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCOC(=O)CN(C)C)Cc1ccccc1-4)C(=O)NC3
CEP-5214	CHEMBL150894	1.0	C28H28N2O3	Cep-5214;;;CEP-5214	CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3
TALINOLOL	CHEMBL152067	1.0	C20H33N3O3	Talinolol;;;Talinolol;;;Talinolol;;;Talinolol	CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1
AZD-4769	CHEMBL422872	1.0	C28H27NO3S	AZ-12096971;;;Azd-4769;;;AZD-4769	O=C(O)CSC(CCCc1ccccc1)c1ccc(OCc2ccc3ccccc3n2)cc1
APOCYNIN	CHEMBL346919	1.0	C9H10O3	Acetovanillone;;;Apocynin;;;Apocynin;;;NSC-209524	COc1cc(C(C)=O)ccc1O
PYROXAMIDE	CHEMBL353581	1.0	C13H19N3O3	Octanedioic acid hydroxyamide pyridin-3-ylamide;;;Pyroxamide	O=C(CCCCCCC(=O)Nc1cccnc1)NO
BMS-214662	CHEMBL351706	1.0	C25H23N5O2S2	Bms 214662;;;Bms-214662;;;BMS-214662	N#Cc1ccc2c(c1)CN(S(=O)(=O)c1cccs1)[C@H](Cc1ccccc1)CN2Cc1c[nH]cn1
ATIPAMEZOLE	CHEMBL353972	1.0	C14H16N2	Antisedan;;;Atipamezole;;;Atipamezole;;;Atipamezole;;;Atipamezole;;;Atipamezole;;;MPV-1248	CCC1(c2cnc[nH]2)Cc2ccccc2C1
PSORALEN	CHEMBL164660	1.0	C11H6O3	NSC-404562;;;Psoralen;;;Psoralen;;;Psoralen	O=c1ccc2cc3ccoc3cc2o1
ETHANE DIMETHANE SULFONATE	CHEMBL170630	1.0	C4H10O6S2	Ethane dimethane sulfonate;;;Methanesulfonic Acid 2-Methanesulfonyloxy-Ethyl Ester	CS(=O)(=O)OCCOS(C)(=O)=O
HKI-357	CHEMBL178654	1.0	C31H29ClFN5O3	Hki-357	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
